t_min,P_amb_atm,FIO2,FIN2,I_ex_L_min_wb,pt_N2_atm,pt_O2_atm,r_hat_dimensionless,Pb_N2_atm,Pb_O2_atm,x_hat_N2,x_hat_O2,n_b,N_b_max_cumulative,P_crush_atm,beta_f_hat_dimensionless,r_hat_min_nucleation_dimensionless,h_t_hazard_per_min,P_DCS,P_survival
0.0,1.0,0.21,0.79,0.0,0.7411447368421052,0.133,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004802631578947336,0.005113998111216932,0.0,0.0,0.0,1.0
0.1,1.0,0.21,0.79,0.0,0.7411447368421052,0.13299360921895492,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004802631578947336,0.005113998111216932,0.07157635655514293,0,0.0,1.0
0.2,1.0,0.21,0.79,0.0,0.7411447368421052,0.13298734429867404,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004809022359992476,0.005113977996855025,0.07157607503123375,0,0.0,1.0
0.30000000000000004,1.0,0.21,0.79,0.0,0.7411447368421052,0.1329812027779043,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0048152872802732505,0.0051139582787812195,0.07157579905383787,0,0.0,1.0
0.4,1.0,0.21,0.79,0.0,0.7411447368421052,0.1329751822428434,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004821428801043082,0.005113938949239941,0.07157552851440699,0,0.0,1.0
0.5,1.0,0.21,0.79,0.0,0.7411447368421052,0.13296928032625158,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004827449336103906,0.005113920000625376,0.07157526330648886,0,0.0,1.0
0.6,1.0,0.21,0.79,0.0,0.7411447368421052,0.13296349470657864,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0048333512526957945,0.005113901425478652,0.07157500332568792,0,0.0,1.0
0.7,1.0,0.21,0.79,0.0,0.7411447368421052,0.13295782310710672,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004839136872368699,0.005113883216485077,0.07157474846962651,0,0.0,1.0
0.7999999999999999,1.0,0.21,0.79,0.0,0.7411447368421052,0.13295226329510798,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004844808471840656,0.0051138653664714265,0.07157449863790703,0,0.0,1.0
0.8999999999999999,1.0,0.21,0.79,0.0,0.7411447368421052,0.13294681308101727,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004850368283839335,0.005113847868403275,0.07157425373207449,0,0.0,1.0
0.9999999999999999,1.0,0.21,0.79,0.0,0.7411447368421052,0.13294147031761946,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004855818497930042,0.005113830715382378,0.07157401365557994,0,0.0,1.0
1.0999999999999999,1.0,0.21,0.79,0.0,0.7411447368421052,0.1329362328992512,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004861161261327851,0.0051138139006441045,0.07157377831374448,0,0.0,1.0
1.2,1.0,0.21,0.79,0.0,0.7411447368421052,0.1329310987610169,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004866398679696182,0.005113797417554902,0.07157354761372382,0,0.0,1.0
1.3,1.0,0.21,0.79,0.0,0.7411447368421052,0.1329260658780189,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004871532817930402,0.005113781259609828,0.07157332146447373,0,0.0,1.0
1.4000000000000001,1.0,0.21,0.79,0.0,0.7411447368421052,0.13292113226460098,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004876565700928426,0.005113765420430103,0.07157309977671576,0,0.0,1.0
1.5000000000000002,1.0,0.21,0.79,0.0,0.7411447368421052,0.13291629597360605,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004881499314346338,0.005113749893760729,0.07157288246290394,0,0.0,1.0
1.6000000000000003,1.0,0.21,0.79,0.0,0.7411447368421052,0.13291155509564673,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.004886335605341352,0.005113734673468131,0.07157266943719172,0,0.0,1.0
1.7000000000000004,1.0,0.21,0.79,0.0,0.7411447368421052,0.13290690775838923,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0048910764833006715,0.005113719753537861,0.07157246061539993,0,0.0,1.0
1.8000000000000005,1.0,0.21,0.79,0.0,0.7411447368421052,0.1329023521258502,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.00489572382055814,0.0051137051280723215,0.07157225591498483,0,0.0,1.0
