preox_duration,ascent_rate_ftmin,cruise_alt_ft,cruise_duration,total_flight_time,risk_index,risk_probability
20,1000,22000,5,47.0,0.0,0.0
20,1000,23000,5,48.0,0.0,0.0
20,1000,24000,5,49.0,0.0,0.0
20,1000,25000,5,50.0,0.0,0.0
20,1000,26000,5,51.0,10.629326967328321,0.9999758040904834
20,1000,27000,5,52.0,25.989068084960035,0.9999999999948348
20,1000,28000,5,53.0,42.97042212598577,1.0
20,1000,29000,5,54.0,61.42200537654415,1.0
20,1000,30000,5,55.0,81.19972255802948,1.0
20,1000,31000,5,56.0,102.16676235979563,1.0
20,1000,32000,5,57.0,124.19354472723482,1.0
20,1000,33000,5,58.0,147.15762673446028,1.0
20,1000,34000,5,59.00000000000001,170.9435733080479,1.0
20,1000,35000,5,60.0,195.4427985157244,1.0
20,1000,36000,5,61.0,220.55338259812342,1.0
20,1000,37000,5,62.0,246.1798694078675,1.0
20,1000,38000,5,63.00000000000001,272.23304843199367,1.0
20,1000,39000,5,64.0,298.6297251136808,1.0
20,1000,40000,5,65.0,325.2924827590275,1.0
20,1000,15000,10,45.0,0.0,0.0
20,1000,16000,10,46.0,0.0,0.0
20,1000,17000,10,47.0,0.0,0.0
20,1000,18000,10,48.0,0.0,0.0
20,1000,19000,10,49.0,0.0,0.0
20,1000,20000,10,50.0,0.0,0.0
20,1000,21000,10,51.0,0.0,0.0
20,1000,22000,10,52.0,0.0,0.0
20,1000,23000,10,53.0,0.0,0.0
20,1000,24000,10,54.0,0.0,0.0
20,1000,25000,10,55.0,0.0,0.0
20,1000,26000,10,56.0,18.909022790289054,0.9999999938635705
20,1000,27000,10,57.0,44.29780278125895,1.0
20,1000,28000,10,58.0,70.52780789272235,1.0
20,1000,29000,10,59.0,97.48310612416611,1.0
20,1000,30000,10,60.0,125.05500781014537,1.0
20,1000,31000,10,61.0,153.14184069659464,1.0
20,1000,32000,10,62.0,181.64870818589554,1.0
20,1000,33000,10,63.0,210.48723489112902,1.0
20,1000,34000,10,64.0,239.57530315547882,1.0
20,1000,35000,10,65.0,268.8367837430706,1.0
20,1000,36000,10,66.0,298.2012634927565,1.0
20,1000,37000,10,67.0,327.60377234617204,1.0
20,1000,38000,10,68.0,356.98451181491095,1.0
20,1000,39000,10,69.0,386.2885866375884,1.0
20,1000,40000,10,70.0,415.4657410945252,1.0
20,1000,15000,15,50.0,0.0,0.0
20,1000,16000,15,51.0,0.0,0.0
20,1000,17000,15,52.0,0.0,0.0
20,1000,18000,15,53.0,0.0,0.0
20,1000,19000,15,54.0,0.0,0.0
20,1000,20000,15,55.0,0.0,0.0
20,1000,21000,15,56.0,0.0,0.0
20,1000,22000,15,57.0,0.0,0.0
20,1000,23000,15,58.0,0.0,0.0
20,1000,24000,15,59.0,0.0,0.0
20,1000,25000,15,60.0,0.0,0.0
20,1000,26000,15,61.0,25.90699878690747,0.9999999999943929
20,1000,27000,15,62.0,59.74364408045832,1.0
