scenario_id,scenario,error
409,"{'altitude': 18731.293651552573, 'time_at_altitude': 16.596227299642894, 'prebreathing_time': 170.73888990394636, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
410,"{'altitude': 23420.280049285575, 'time_at_altitude': 70.34732040301687, 'prebreathing_time': 175.95712928954342, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
411,"{'altitude': 19754.602725379315, 'time_at_altitude': 10.971772809299983, 'prebreathing_time': 58.18976092532887, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
412,"{'altitude': 19183.740235827794, 'time_at_altitude': 254.40135579882391, 'prebreathing_time': 6.298624576838874, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
413,"{'altitude': 19553.111046032154, 'time_at_altitude': 138.16390616441475, 'prebreathing_time': 163.15422842308894, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
414,"{'altitude': 21153.80307652485, 'time_at_altitude': 65.01512342419107, 'prebreathing_time': 118.9595652135419, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
415,"{'altitude': 18292.558851811922, 'time_at_altitude': 127.53215239939898, 'prebreathing_time': 200.94654834642844, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
416,"{'altitude': 19398.31550491856, 'time_at_altitude': 136.46134868715157, 'prebreathing_time': 58.26621166904956, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
417,"{'altitude': 21144.619722679523, 'time_at_altitude': 25.650944263469306, 'prebreathing_time': 173.91688496610934, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
418,"{'altitude': 20617.725522919845, 'time_at_altitude': 258.87061815002403, 'prebreathing_time': 128.26298313739107, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
419,"{'altitude': 22384.041517641308, 'time_at_altitude': 330.3416139731089, 'prebreathing_time': 179.7967325238962, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
420,"{'altitude': 22561.84701351558, 'time_at_altitude': 109.46928365663699, 'prebreathing_time': 57.672600765807786, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
421,"{'altitude': 22656.731676969146, 'time_at_altitude': 219.62359576867044, 'prebreathing_time': 46.032050240128875, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
422,"{'altitude': 20200.759727846056, 'time_at_altitude': 166.12799056325994, 'prebreathing_time': 151.08558895437562, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
423,"{'altitude': 24327.112104128253, 'time_at_altitude': 173.83313231582812, 'prebreathing_time': 74.41225174430181, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
424,"{'altitude': 20092.159715563022, 'time_at_altitude': 298.21106635217296, 'prebreathing_time': 130.53576386660865, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
425,"{'altitude': 24094.807701901045, 'time_at_altitude': 91.2272601707823, 'prebreathing_time': 39.1569396477846, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
426,"{'altitude': 18370.77090107997, 'time_at_altitude': 209.4480337901376, 'prebreathing_time': 6.08559002553382, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
427,"{'altitude': 21301.64575679016, 'time_at_altitude': 154.52512557232365, 'prebreathing_time': 98.63248754498362, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
428,"{'altitude': 18103.13323892701, 'time_at_altitude': 124.6399834919534, 'prebreathing_time': 13.812876275767492, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
429,"{'altitude': 20307.965115182298, 'time_at_altitude': 251.20342533784864, 'prebreathing_time': 163.61344631088352, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
430,"{'altitude': 20362.072213701977, 'time_at_altitude': 283.887127291286, 'prebreathing_time': 23.825064872799075, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
431,"{'altitude': 21918.859525898475, 'time_at_altitude': 126.53540458014308, 'prebreathing_time': 83.79534757860282, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
432,"{'altitude': 21525.6212053214, 'time_at_altitude': 110.47226310123672, 'prebreathing_time': 10.305411309972818, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
433,"{'altitude': 21140.06799348039, 'time_at_altitude': 5.0632151416693, 'prebreathing_time': 209.5499762387846, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
434,"{'altitude': 23963.34977599738, 'time_at_altitude': 135.30135000626274, 'prebreathing_time': 78.41953031409817, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
435,"{'altitude': 21449.77169345562, 'time_at_altitude': 278.873415073789, 'prebreathing_time': 57.16766123565709, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
436,"{'altitude': 23205.8707128838, 'time_at_altitude': 320.20346360719236, 'prebreathing_time': 153.5440329774058, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
437,"{'altitude': 24751.733499514336, 'time_at_altitude': 95.35594048106987, 'prebreathing_time': 227.91386014658175, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
438,"{'altitude': 18116.94529041051, 'time_at_altitude': 266.23308865582646, 'prebreathing_time': 150.93324922599146, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
439,"{'altitude': 20196.025230645624, 'time_at_altitude': 153.43868690374654, 'prebreathing_time': 68.8100805667297, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
440,"{'altitude': 24727.26394731698, 'time_at_altitude': 274.79422691541055, 'prebreathing_time': 109.03315706321591, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
441,"{'altitude': 21839.700664929354, 'time_at_altitude': 266.7901427160802, 'prebreathing_time': 170.3894152059612, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
442,"{'altitude': 23680.97237865965, 'time_at_altitude': 232.16063988337268, 'prebreathing_time': 118.71991697810657, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
443,"{'altitude': 22425.031092326954, 'time_at_altitude': 200.77851765260894, 'prebreathing_time': 56.156347848164295, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
444,"{'altitude': 24547.780117004273, 'time_at_altitude': 207.48209476020324, 'prebreathing_time': 55.43404093316681, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
445,"{'altitude': 24636.05133614286, 'time_at_altitude': 224.18101874007522, 'prebreathing_time': 150.17906612785524, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
446,"{'altitude': 18998.770701907666, 'time_at_altitude': 77.71989511598551, 'prebreathing_time': 88.86516459061404, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
447,"{'altitude': 24471.901076618204, 'time_at_altitude': 224.87869083683137, 'prebreathing_time': 114.6763785201448, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
448,"{'altitude': 18591.337355829342, 'time_at_altitude': 239.06181629159673, 'prebreathing_time': 41.99770564062675, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
449,"{'altitude': 22848.23314638984, 'time_at_altitude': 136.91365085085664, 'prebreathing_time': 228.30280790403663, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
450,"{'altitude': 24589.156248630687, 'time_at_altitude': 145.45241084964601, 'prebreathing_time': 57.12623473557245, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
451,"{'altitude': 20744.073397496002, 'time_at_altitude': 288.54705377253595, 'prebreathing_time': 192.88956012063193, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
452,"{'altitude': 24347.01189630463, 'time_at_altitude': 352.31701416412744, 'prebreathing_time': 153.2858930325674, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
453,"{'altitude': 20296.536987260442, 'time_at_altitude': 161.84753841564049, 'prebreathing_time': 206.48883405983955, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
454,"{'altitude': 20933.958557111022, 'time_at_altitude': 248.94439095738937, 'prebreathing_time': 97.53310316629887, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
455,"{'altitude': 20291.229707635917, 'time_at_altitude': 221.84400355114064, 'prebreathing_time': 73.25437264947175, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
456,"{'altitude': 19615.52286072488, 'time_at_altitude': 263.44026218985465, 'prebreathing_time': 41.244731244098915, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
457,"{'altitude': 18527.50336872605, 'time_at_altitude': 228.4186491186971, 'prebreathing_time': 125.90689194665144, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
458,"{'altitude': 18053.557210301573, 'time_at_altitude': 95.89149424482913, 'prebreathing_time': 203.64766632359502, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
459,"{'altitude': 22129.210210883324, 'time_at_altitude': 150.55802682577053, 'prebreathing_time': 186.48549602625988, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
460,"{'altitude': 19595.085762281593, 'time_at_altitude': 245.82806130072643, 'prebreathing_time': 181.37074662539908, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
461,"{'altitude': 21672.51935807686, 'time_at_altitude': 206.685397261482, 'prebreathing_time': 116.92917813197187, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
462,"{'altitude': 18690.773976380988, 'time_at_altitude': 206.14906918223227, 'prebreathing_time': 126.7693124504249, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
463,"{'altitude': 19313.588638234272, 'time_at_altitude': 88.9774990408721, 'prebreathing_time': 179.0736689441276, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
464,"{'altitude': 22103.66618195691, 'time_at_altitude': 337.9949183774807, 'prebreathing_time': 151.89841577052692, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
465,"{'altitude': 19947.76092137418, 'time_at_altitude': 79.72928741992277, 'prebreathing_time': 230.54020682597576, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
466,"{'altitude': 23822.029892432747, 'time_at_altitude': 1.206273265231622, 'prebreathing_time': 147.30429300698927, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
467,"{'altitude': 23324.684596104795, 'time_at_altitude': 190.36785137850876, 'prebreathing_time': 176.32222502229047, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
468,"{'altitude': 23412.939801953144, 'time_at_altitude': 318.9996930984508, 'prebreathing_time': 237.47558510364723, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
469,"{'altitude': 20585.090326381764, 'time_at_altitude': 161.19510720396042, 'prebreathing_time': 14.241999441841031, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
470,"{'altitude': 20101.63381077484, 'time_at_altitude': 203.73376751093497, 'prebreathing_time': 218.04618369602125, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
471,"{'altitude': 22035.46383243733, 'time_at_altitude': 144.3708881825529, 'prebreathing_time': 32.10728772514451, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
472,"{'altitude': 19147.690347296753, 'time_at_altitude': 334.1253778093031, 'prebreathing_time': 67.73625349963669, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
473,"{'altitude': 23138.269327940478, 'time_at_altitude': 100.63525396645092, 'prebreathing_time': 3.105909836998819, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
474,"{'altitude': 24717.00552806331, 'time_at_altitude': 255.50605161103772, 'prebreathing_time': 127.47766638664315, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
475,"{'altitude': 20173.929154870082, 'time_at_altitude': 163.67231426418115, 'prebreathing_time': 226.29276423165163, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
476,"{'altitude': 23954.274993927014, 'time_at_altitude': 173.88280115127654, 'prebreathing_time': 137.32175893415007, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
477,"{'altitude': 22920.158010995972, 'time_at_altitude': 56.51062482893587, 'prebreathing_time': 155.3861571198042, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
478,"{'altitude': 18366.41241606851, 'time_at_altitude': 288.73222334418614, 'prebreathing_time': 228.98650124186491, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
479,"{'altitude': 22642.333655861374, 'time_at_altitude': 48.791915599688075, 'prebreathing_time': 233.59972216303672, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
480,"{'altitude': 22758.536258809312, 'time_at_altitude': 354.4037760031417, 'prebreathing_time': 160.4822086978616, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
481,"{'altitude': 22872.973770095385, 'time_at_altitude': 258.5203168145335, 'prebreathing_time': 205.47403734934875, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
482,"{'altitude': 18240.252360084356, 'time_at_altitude': 181.46647608928382, 'prebreathing_time': 50.207701418609496, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
483,"{'altitude': 22206.79902201963, 'time_at_altitude': 197.56812737175744, 'prebreathing_time': 119.80822158941862, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
484,"{'altitude': 18517.51604007546, 'time_at_altitude': 270.27570207939215, 'prebreathing_time': 148.5863213876761, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
485,"{'altitude': 20455.946478555074, 'time_at_altitude': 80.07885845164932, 'prebreathing_time': 213.8567338257708, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
486,"{'altitude': 24976.65910736632, 'time_at_altitude': 48.40796657809208, 'prebreathing_time': 26.162001958599397, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
487,"{'altitude': 23259.66307059712, 'time_at_altitude': 257.47280172982977, 'prebreathing_time': 104.79964623918629, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
488,"{'altitude': 24355.193547133138, 'time_at_altitude': 232.4964213807098, 'prebreathing_time': 73.54999573052545, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
489,"{'altitude': 22603.35823669119, 'time_at_altitude': 277.1718091746255, 'prebreathing_time': 61.66589375967311, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
490,"{'altitude': 23974.23807230294, 'time_at_altitude': 325.9029816362543, 'prebreathing_time': 197.92510757434866, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
491,"{'altitude': 24042.587602350384, 'time_at_altitude': 187.09697567580554, 'prebreathing_time': 160.72660902447794, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
492,"{'altitude': 21412.45302882619, 'time_at_altitude': 336.9343972971192, 'prebreathing_time': 119.07894221041802, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
493,"{'altitude': 21555.562334250473, 'time_at_altitude': 143.32081261617427, 'prebreathing_time': 70.31646984188538, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
494,"{'altitude': 19230.135801431843, 'time_at_altitude': 120.16886373763425, 'prebreathing_time': 101.5366878926329, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
495,"{'altitude': 22310.20511656363, 'time_at_altitude': 308.84921772710345, 'prebreathing_time': 133.37150331213473, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
496,"{'altitude': 20222.524377916772, 'time_at_altitude': 353.2580329509891, 'prebreathing_time': 128.2416043926695, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
497,"{'altitude': 22341.64084323796, 'time_at_altitude': 167.01518710528842, 'prebreathing_time': 214.0109287140542, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
498,"{'altitude': 23616.876264767176, 'time_at_altitude': 131.82773536498746, 'prebreathing_time': 66.66709008739376, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
499,"{'altitude': 23026.600919201, 'time_at_altitude': 329.85212844959824, 'prebreathing_time': 224.9419116001374, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
500,"{'altitude': 23628.57443327287, 'time_at_altitude': 288.1900591398115, 'prebreathing_time': 112.42096819799949, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
501,"{'altitude': 22476.74540278662, 'time_at_altitude': 109.19117037463532, 'prebreathing_time': 127.26268235051445, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
502,"{'altitude': 23461.121879342303, 'time_at_altitude': 297.8697031693447, 'prebreathing_time': 23.56546898178386, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
503,"{'altitude': 19500.61712561282, 'time_at_altitude': 64.33387850501673, 'prebreathing_time': 50.8889068972026, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
504,"{'altitude': 21240.82740291369, 'time_at_altitude': 331.8011992569745, 'prebreathing_time': 189.40803564325498, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
505,"{'altitude': 20558.814115800316, 'time_at_altitude': 47.77927645090173, 'prebreathing_time': 77.19361432711521, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
506,"{'altitude': 22178.516748118363, 'time_at_altitude': 347.52605203286515, 'prebreathing_time': 45.72291841889586, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
507,"{'altitude': 24449.682241145776, 'time_at_altitude': 243.38772547437043, 'prebreathing_time': 186.46207716920935, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
508,"{'altitude': 23569.30900604, 'time_at_altitude': 43.41199715001246, 'prebreathing_time': 150.2070960463936, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
509,"{'altitude': 19204.92155291327, 'time_at_altitude': 264.7635311320146, 'prebreathing_time': 124.3057082643218, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
510,"{'altitude': 19359.18108967169, 'time_at_altitude': 60.66685676366717, 'prebreathing_time': 96.95222313004386, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
511,"{'altitude': 20930.19501633579, 'time_at_altitude': 121.398769016612, 'prebreathing_time': 116.82901787751705, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
512,"{'altitude': 19828.355654462866, 'time_at_altitude': 20.655378557466616, 'prebreathing_time': 147.1652915328259, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
513,"{'altitude': 22392.74813251821, 'time_at_altitude': 127.3528478595603, 'prebreathing_time': 187.24747241808626, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
514,"{'altitude': 19519.370567933893, 'time_at_altitude': 316.33677691999475, 'prebreathing_time': 205.6166260335271, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
515,"{'altitude': 20487.323980729063, 'time_at_altitude': 58.99647432786064, 'prebreathing_time': 194.88978044250234, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
516,"{'altitude': 23796.088573456746, 'time_at_altitude': 287.51253014418387, 'prebreathing_time': 185.64399559458505, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
517,"{'altitude': 18858.177611605835, 'time_at_altitude': 260.6715794495852, 'prebreathing_time': 160.7621439039296, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
518,"{'altitude': 21480.750341244726, 'time_at_altitude': 243.82235059486504, 'prebreathing_time': 78.90944057590725, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
519,"{'altitude': 18535.281563983022, 'time_at_altitude': 104.09393133015044, 'prebreathing_time': 135.69105218665922, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
520,"{'altitude': 22667.720668290767, 'time_at_altitude': 208.62111506212796, 'prebreathing_time': 15.005902349978717, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
521,"{'altitude': 22663.073627907936, 'time_at_altitude': 50.48472875348689, 'prebreathing_time': 90.08115312314432, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
522,"{'altitude': 24789.816709742103, 'time_at_altitude': 278.3691136531152, 'prebreathing_time': 170.41723114463593, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
