scenario_id,scenario,error
26,"{'altitude': 20072.43871640305, 'time_at_altitude': 57.345744378012114, 'prebreathing_time': 35.38187857900528, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
27,"{'altitude': 22665.09595370218, 'time_at_altitude': 1.173404407566688, 'prebreathing_time': 117.22120587594095, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
28,"{'altitude': 24428.392201332535, 'time_at_altitude': 198.18422614917822, 'prebreathing_time': 224.95527117236287, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
29,"{'altitude': 22595.611352916712, 'time_at_altitude': 182.489546636905, 'prebreathing_time': 174.93033815811407, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
30,"{'altitude': 24823.53364250833, 'time_at_altitude': 107.23371603225435, 'prebreathing_time': 238.5808824770562, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
31,"{'altitude': 24793.164232799743, 'time_at_altitude': 310.7922248575168, 'prebreathing_time': 214.1653624655505, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
32,"{'altitude': 22066.35533874777, 'time_at_altitude': 89.90638115724367, 'prebreathing_time': 60.24235435695955, 'exercise_level': 'Heavy'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
33,"{'altitude': 24830.462351212806, 'time_at_altitude': 183.43070465024945, 'prebreathing_time': 115.01044339457488, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
34,"{'altitude': 22280.623253738984, 'time_at_altitude': 32.757208122651434, 'prebreathing_time': 110.05669537298773, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
35,"{'altitude': 20630.896455468024, 'time_at_altitude': 13.010353720318461, 'prebreathing_time': 40.85874850556507, 'exercise_level': 'Mild'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
36,"{'altitude': 21614.556645006087, 'time_at_altitude': 49.20208473570142, 'prebreathing_time': 22.22902867511925, 'exercise_level': 'Rest'}","Error in calculate_dcs_risk: The feature names should match those that were passed during fit.
Feature names must be in the same order as they were in fit.
"
