altitude,prebreathing_time,exercise_level,time_at_altitude,risk_of_decompression_sickness
18000,30,Mild,130,0.00
18000,30,Mild,140,0.00
18000,30,Mild,150,0.00
18000,30,Mild,160,0.00
18000,30,Mild,170,0.00
18000,30,Mild,180,0.00
18000,30,Mild,190,0.00
18000,30,Mild,200,0.01
18000,30,Mild,210,0.01
18000,30,Mild,220,0.01
18000,30,Mild,230,0.01
18000,30,Mild,240,0.01
18000,30,Heavy,10,0.00
18000,30,Heavy,20,0.00
18000,30,Heavy,30,0.00
18000,30,Heavy,40,0.00
18000,30,Heavy,50,0.00
18000,30,Heavy,60,0.00
18000,30,Heavy,70,0.00
18000,30,Heavy,80,0.01
18000,30,Heavy,90,0.01
18000,30,Heavy,100,0.01
18000,30,Heavy,110,0.01
18000,30,Heavy,120,0.01
18000,30,Heavy,130,0.01
18000,30,Heavy,140,0.01
18000,30,Heavy,150,0.01
18000,30,Heavy,160,0.01
18000,30,Heavy,170,0.01
18000,30,Heavy,180,0.02
18000,30,Heavy,190,0.02
18000,30,Heavy,200,0.02
18000,30,Heavy,210,0.02
18000,30,Heavy,220,0.02
18000,30,Heavy,230,0.02
18000,30,Heavy,240,0.02
18000,45,Rest,10,0.00
18000,45,Rest,20,0.00
18000,45,Rest,30,0.00
18000,45,Rest,40,0.00
18000,45,Rest,50,0.00
18000,45,Rest,60,0.00
18000,45,Rest,70,0.00
18000,45,Rest,80,0.00
18000,45,Rest,90,0.00
18000,45,Rest,100,0.00
18000,45,Rest,110,0.00
18000,45,Rest,120,0.00
18000,45,Rest,130,0.00
18000,45,Rest,140,0.00
18000,45,Rest,150,0.00
18000,45,Rest,160,0.00
18000,45,Rest,170,0.00
18000,45,Rest,180,0.00
18000,45,Rest,190,0.00
18000,45,Rest,200,0.00
18000,45,Rest,210,0.00
18000,45,Rest,220,0.00
18000,45,Rest,230,0.00
18000,45,Rest,240,0.00
18000,45,Mild,10,0.00
18000,45,Mild,20,0.00
18000,45,Mild,30,0.00
18000,45,Mild,40,0.00
18000,45,Mild,50,0.00
18000,45,Mild,60,0.00
18000,45,Mild,70,0.00
18000,45,Mild,80,0.00
18000,45,Mild,90,0.00
18000,45,Mild,100,0.00
18000,45,Mild,110,0.00
18000,45,Mild,120,0.00
18000,45,Mild,130,0.00
18000,45,Mild,140,0.00
18000,45,Mild,150,0.00
18000,45,Mild,160,0.00
18000,45,Mild,170,0.00
18000,45,Mild,180,0.00
18000,45,Mild,190,0.00
18000,45,Mild,200,0.00
18000,45,Mild,210,0.00
